lat,long,time,
52.9333,-1.5,1388534400,
52.9333,-1.5,1388620800,
52.9333,-1.5,1388707200,
52.9333,-1.5,1388793600,
52.9333,-1.5,1388880000,
52.9333,-1.5,1388966400,
52.9333,-1.5,1389052800,
52.9333,-1.5,1389139200,
52.9333,-1.5,1389225600,
52.9333,-1.5,1389312000,
52.9333,-1.5,1389398400,
52.9333,-1.5,1389484800,
52.9333,-1.5,1389571200,
52.9333,-1.5,1389657600,
52.9333,-1.5,1389744000,
52.9333,-1.5,1389830400,
52.9333,-1.5,1389916800,
52.9333,-1.5,1390003200,
52.9333,-1.5,1390089600,
52.9333,-1.5,1390176000,
52.9333,-1.5,1390262400,
52.9333,-1.5,1390348800,
52.9333,-1.5,1390435200,
52.9333,-1.5,1390521600,
52.9333,-1.5,1390608000,
52.9333,-1.5,1390694400,
52.9333,-1.5,1390780800,
52.9333,-1.5,1390867200,
52.9333,-1.5,1390953600,
52.9333,-1.5,1391040000,
52.9333,-1.5,1391126400,
52.9333,-1.5,1391212800,
52.9333,-1.5,1391299200,
52.9333,-1.5,1391385600,
52.9333,-1.5,1391472000,
52.9333,-1.5,1391558400,
52.9333,-1.5,1391644800,
52.9333,-1.5,1391731200,
52.9333,-1.5,1391817600,
52.9333,-1.5,1391904000,
52.9333,-1.5,1391990400,
52.9333,-1.5,1392076800,
52.9333,-1.5,1392163200,
52.9333,-1.5,1392249600,
52.9333,-1.5,1392336000,
52.9333,-1.5,1392422400,
52.9333,-1.5,1392508800,
52.9333,-1.5,1392595200,
52.9333,-1.5,1392681600,
52.9333,-1.5,1392768000,
52.9333,-1.5,1392854400,
52.9333,-1.5,1392940800,
52.9333,-1.5,1393027200,
52.9333,-1.5,1393113600,
52.9333,-1.5,1393200000,
52.9333,-1.5,1393286400,
52.9333,-1.5,1393372800,
52.9333,-1.5,1393459200,
52.9333,-1.5,1393545600,
52.9333,-1.5,1393632000,
52.9333,-1.5,1393718400,
52.9333,-1.5,1393804800,
52.9333,-1.5,1393891200,
52.9333,-1.5,1393977600,
52.9333,-1.5,1394064000,
52.9333,-1.5,1394150400,
52.9333,-1.5,1394236800,
52.9333,-1.5,1394323200,
52.9333,-1.5,1394409600,
52.9333,-1.5,1394496000,
52.9333,-1.5,1394582400,
52.9333,-1.5,1394668800,
52.9333,-1.5,1394755200,
52.9333,-1.5,1394841600,
52.9333,-1.5,1394928000,
52.9333,-1.5,1395014400,
52.9333,-1.5,1395100800,
52.9333,-1.5,1395187200,
52.9333,-1.5,1395273600,
52.9333,-1.5,1395360000,
52.9333,-1.5,1395446400,
52.9333,-1.5,1395532800,
52.9333,-1.5,1395619200,
52.9333,-1.5,1395705600,
52.9333,-1.5,1395792000,
52.9333,-1.5,1395878400,
52.9333,-1.5,1395964800,
52.9333,-1.5,1396051200,
52.9333,-1.5,1396137600,
52.9333,-1.5,1396224000,
52.9333,-1.5,1396310400,
52.9333,-1.5,1396396800,
52.9333,-1.5,1396483200,
52.9333,-1.5,1396569600,
52.9333,-1.5,1396656000,
52.9333,-1.5,1396742400,
52.9333,-1.5,1396828800,
52.9333,-1.5,1396915200,
52.9333,-1.5,1397001600,
52.9333,-1.5,1397088000,
52.9333,-1.5,1397174400,
52.9333,-1.5,1397260800,
52.9333,-1.5,1397347200,
52.9333,-1.5,1397433600,
52.9333,-1.5,1397520000,
52.9333,-1.5,1397606400,
52.9333,-1.5,1397692800,
52.9333,-1.5,1397779200,
52.9333,-1.5,1397865600,
52.9333,-1.5,1397952000,
52.9333,-1.5,1398038400,
52.9333,-1.5,1398124800,
52.9333,-1.5,1398211200,
52.9333,-1.5,1398297600,
52.9333,-1.5,1398384000,
52.9333,-1.5,1398470400,
52.9333,-1.5,1398556800,
52.9333,-1.5,1398643200,
52.9333,-1.5,1398729600,
52.9333,-1.5,1398816000,
52.9333,-1.5,1398902400,
52.9333,-1.5,1398988800,
52.9333,-1.5,1399075200,
52.9333,-1.5,1399161600,
52.9333,-1.5,1399248000,
52.9333,-1.5,1399334400,
52.9333,-1.5,1399420800,
52.9333,-1.5,1399507200,
52.9333,-1.5,1399593600,
52.9333,-1.5,1399680000,
52.9333,-1.5,1399766400,
52.9333,-1.5,1399852800,
52.9333,-1.5,1399939200,
52.9333,-1.5,1400025600,
52.9333,-1.5,1400112000,
52.9333,-1.5,1400198400,
52.9333,-1.5,1400284800,
52.9333,-1.5,1400371200,
52.9333,-1.5,1400457600,
52.9333,-1.5,1400544000,
52.9333,-1.5,1400630400,
52.9333,-1.5,1400716800,
52.9333,-1.5,1400803200,
52.9333,-1.5,1400889600,
52.9333,-1.5,1400976000,
52.9333,-1.5,1401062400,
52.9333,-1.5,1401148800,
52.9333,-1.5,1401235200,
52.9333,-1.5,1401321600,
52.9333,-1.5,1401408000,
52.9333,-1.5,1401494400,
52.9333,-1.5,1401580800,
52.9333,-1.5,1401667200,
52.9333,-1.5,1401753600,
52.9333,-1.5,1401840000,
52.9333,-1.5,1401926400,
52.9333,-1.5,1402012800,
52.9333,-1.5,1402099200,
52.9333,-1.5,1402185600,
52.9333,-1.5,1402272000,
52.9333,-1.5,1402358400,
52.9333,-1.5,1402444800,
52.9333,-1.5,1402531200,
52.9333,-1.5,1402617600,
52.9333,-1.5,1402704000,
52.9333,-1.5,1402790400,
52.9333,-1.5,1402876800,
52.9333,-1.5,1402963200,
52.9333,-1.5,1403049600,
52.9333,-1.5,1403136000,
52.9333,-1.5,1403222400,
52.9333,-1.5,1403308800,
52.9333,-1.5,1403395200,
52.9333,-1.5,1403481600,
52.9333,-1.5,1403568000,
52.9333,-1.5,1403654400,
52.9333,-1.5,1403740800,
52.9333,-1.5,1403827200,
52.9333,-1.5,1403913600,
52.9333,-1.5,1404000000,
52.9333,-1.5,1404086400,
52.9333,-1.5,1404172800,
52.9333,-1.5,1404259200,
52.9333,-1.5,1404345600,
52.9333,-1.5,1404432000,
52.9333,-1.5,1404518400,
52.9333,-1.5,1404604800,
52.9333,-1.5,1404691200,
52.9333,-1.5,1404777600,
52.9333,-1.5,1404864000,
52.9333,-1.5,1404950400,
52.9333,-1.5,1405036800,
52.9333,-1.5,1405123200,
52.9333,-1.5,1405209600,
52.9333,-1.5,1405296000,
52.9333,-1.5,1405382400,
52.9333,-1.5,1405468800,
52.9333,-1.5,1405555200,
52.9333,-1.5,1405641600,
52.9333,-1.5,1405728000,
52.9333,-1.5,1405814400,
52.9333,-1.5,1405900800,
52.9333,-1.5,1405987200,
52.9333,-1.5,1406073600,
52.9333,-1.5,1406160000,
52.9333,-1.5,1406246400,
52.9333,-1.5,1406332800,
52.9333,-1.5,1406419200,
52.9333,-1.5,1406505600,
52.9333,-1.5,1406592000,
52.9333,-1.5,1406678400,
52.9333,-1.5,1406764800,
52.9333,-1.5,1406851200,
52.9333,-1.5,1406937600,
52.9333,-1.5,1407024000,
52.9333,-1.5,1407110400,
52.9333,-1.5,1407196800,
52.9333,-1.5,1407283200,
52.9333,-1.5,1407369600,
52.9333,-1.5,1407456000,
52.9333,-1.5,1407542400,
52.9333,-1.5,1407628800,
52.9333,-1.5,1407715200,
52.9333,-1.5,1407801600,
52.9333,-1.5,1407888000,
52.9333,-1.5,1407974400,
52.9333,-1.5,1408060800,
52.9333,-1.5,1408147200,
52.9333,-1.5,1408233600,
52.9333,-1.5,1408320000,
52.9333,-1.5,1408406400,
52.9333,-1.5,1408492800,
52.9333,-1.5,1408579200,
52.9333,-1.5,1408665600,
52.9333,-1.5,1408752000,
52.9333,-1.5,1408838400,
52.9333,-1.5,1408924800,
52.9333,-1.5,1409011200,
52.9333,-1.5,1409097600,
52.9333,-1.5,1409184000,
52.9333,-1.5,1409270400,
52.9333,-1.5,1409356800,
52.9333,-1.5,1409443200,
52.9333,-1.5,1409529600,
52.9333,-1.5,1409616000,
52.9333,-1.5,1409702400,
52.9333,-1.5,1409788800,
52.9333,-1.5,1409875200,
52.9333,-1.5,1409961600,
52.9333,-1.5,1410048000,
52.9333,-1.5,1410134400,
52.9333,-1.5,1410220800,
52.9333,-1.5,1410307200,
52.9333,-1.5,1410393600,
52.9333,-1.5,1410480000,
52.9333,-1.5,1410566400,
52.9333,-1.5,1410652800,
52.9333,-1.5,1410739200,
52.9333,-1.5,1410825600,
52.9333,-1.5,1410912000,
52.9333,-1.5,1410998400,
52.9333,-1.5,1411084800,
52.9333,-1.5,1411171200,
52.9333,-1.5,1411257600,
52.9333,-1.5,1411344000,
52.9333,-1.5,1411430400,
52.9333,-1.5,1411516800,
52.9333,-1.5,1411603200,
52.9333,-1.5,1411689600,
52.9333,-1.5,1411776000,
52.9333,-1.5,1411862400,
52.9333,-1.5,1411948800,
52.9333,-1.5,1412035200,
52.9333,-1.5,1412121600,
52.9333,-1.5,1412208000,
52.9333,-1.5,1412294400,
52.9333,-1.5,1412380800,
52.9333,-1.5,1412467200,
52.9333,-1.5,1412553600,
52.9333,-1.5,1412640000,
52.9333,-1.5,1412726400,
52.9333,-1.5,1412812800,
52.9333,-1.5,1412899200,
52.9333,-1.5,1412985600,
52.9333,-1.5,1413072000,
52.9333,-1.5,1413158400,
52.9333,-1.5,1413244800,
52.9333,-1.5,1413331200,
52.9333,-1.5,1413417600,
52.9333,-1.5,1413504000,
52.9333,-1.5,1413590400,
52.9333,-1.5,1413676800,
52.9333,-1.5,1413763200,
52.9333,-1.5,1413849600,
52.9333,-1.5,1413936000,
52.9333,-1.5,1414022400,
52.9333,-1.5,1414108800,
52.9333,-1.5,1414195200,
52.9333,-1.5,1414281600,
52.9333,-1.5,1414368000,
52.9333,-1.5,1414454400,
52.9333,-1.5,1414540800,
52.9333,-1.5,1414627200,
52.9333,-1.5,1414713600,
52.9333,-1.5,1414800000,
52.9333,-1.5,1414886400,
52.9333,-1.5,1414972800,
52.9333,-1.5,1415059200,
52.9333,-1.5,1415145600,
52.9333,-1.5,1415232000,
52.9333,-1.5,1415318400,
52.9333,-1.5,1415404800,
52.9333,-1.5,1415491200,
52.9333,-1.5,1415577600,
52.9333,-1.5,1415664000,
52.9333,-1.5,1415750400,
52.9333,-1.5,1415836800,
52.9333,-1.5,1415923200,
52.9333,-1.5,1416009600,
52.9333,-1.5,1416096000,
52.9333,-1.5,1416182400,
52.9333,-1.5,1416268800,
52.9333,-1.5,1416355200,
52.9333,-1.5,1416441600,
52.9333,-1.5,1416528000,
52.9333,-1.5,1416614400,
52.9333,-1.5,1416700800,
52.9333,-1.5,1416787200,
52.9333,-1.5,1416873600,
52.9333,-1.5,1416960000,
52.9333,-1.5,1417046400,
52.9333,-1.5,1417132800,
52.9333,-1.5,1417219200,
52.9333,-1.5,1417305600,
52.9333,-1.5,1417392000,
52.9333,-1.5,1417478400,
52.9333,-1.5,1417564800,
52.9333,-1.5,1417651200,
52.9333,-1.5,1417737600,
52.9333,-1.5,1417824000,
52.9333,-1.5,1417910400,
52.9333,-1.5,1417996800,
52.9333,-1.5,1418083200,
52.9333,-1.5,1418169600,
